DATE,DESCIPTION,DEBIT,CREDIT,BALANCE,,
8/6/2024,"BURGER KING #13574 VICTORIA, BC",42.15,,881.53,,
8/6/2024,"APPLE.COM/BILL 866-712-7753, ON",63.25,,839.38,,
8/6/2024,"APPLE.COM/BILL 866-712-7753, ON",15.67,,776.13,,
8/6/2024,"STARBUCKS 04847 DUNCAN, BC",8.25,,760.46,,
8/6/2024,"SAVE ON FOODS 2227 VICTORIA, BC",121.49,,752.21,,
8/6/2024,"STARBUCKS COFFEE #4405 VICTORIA, BC",6.46,,630.72,,
8/6/2024,"SHOPPERS DRUG MART #27 VICTORIA, BC",150.08,,624.26,,
8/6/2024,"MCDONALD'S #29717 VICTORIA, BC",25.38,,474.18,,
8/6/2024,"PETRO CANADA69816 MILL BAY, BC",45,,448.8,,
8/6/2024,"REXALL PHARMACY #7139 COLWOOD, BC",172.56,,403.8,,
8/6/2024,"REXALL PHARMACY #7139 COLWOOD, BC",48.44,,231.24,,
8/6/2024,"JOIE FRENCH CAFE VICTORIA, BC",11.43,,182.8,,
8/6/2024,"STARBUCKS 04234 VICTORIA, BC",6.46,,171.37,,
8/6/2024,"SHELL C47030 VICTORIA, BC",87.89,,164.91,,
8/2/2024,"Subway 14690 Langford, BC",17.36,,77.02,,
8/2/2024,"R PARKING VIC VICTORIA, BC",7.5,,59.66,,
8/2/2024,"APPLE.COM/BILL 866-712-7753, ON",12.31,,52.16,,
8/2/2024,"APPLE.COM/BILL 866-712-7753, ON",41.43,,39.85,,
8/1/2024,"SOL FINE FOODS VICTORIA, BC",4.1,,-1.58,,
8/1/2024,"R PARKING VIC VICTORIA, BC",7.5,,-5.68,,
8/1/2024,"MCDONALD'S #1777 VICTORIA, BC",26.82,,-13.18,,
7/31/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,40,-40,,
7/30/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,40,0,,
7/29/2024,"CHV43050 LANGFORD CHEV LANGFORD (VIC, BC",40,,40,,
7/29/2024,PAYMENT THANK YOU/PAIEMEN T MERCI,,3.76,0,,
7/26/2024,"SOL FINE FOODS VICTORIA, BC",3.76,,3.76,,
7/25/2024,ANNUAL FEE,120,,0,,
7/25/2024,ANNUAL FEE REBATE,,120,-120,,
